areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2021-10-11,0_to_4,0.5,8
E92000001,England,nation,2021-10-11,5_to_9,0.1,1
E92000001,England,nation,2021-10-11,10_to_14,0.3,6
E92000001,England,nation,2021-10-11,15_to_19,1.9,31
E92000001,England,nation,2021-10-11,20_to_24,3.0,53
E92000001,England,nation,2021-10-11,25_to_29,4.4,84
E92000001,England,nation,2021-10-11,30_to_34,7.7,148
E92000001,England,nation,2021-10-11,35_to_39,14.0,259
E92000001,England,nation,2021-10-11,40_to_44,25.0,433
E92000001,England,nation,2021-10-11,45_to_49,44.3,799
E92000001,England,nation,2021-10-11,50_to_54,73.9,1412
E92000001,England,nation,2021-10-11,55_to_59,127.3,2359
E92000001,England,nation,2021-10-11,60_to_64,177.4,2782
E92000001,England,nation,2021-10-11,65_to_69,416.5,5613
E92000001,England,nation,2021-10-11,70_to_74,556.9,7484
E92000001,England,nation,2021-10-11,75_to_79,1070.6,10000
E92000001,England,nation,2021-10-11,80_to_84,1956.4,12521
E92000001,England,nation,2021-10-11,85_to_89,3489.8,12430
E92000001,England,nation,2021-10-11,90+,6082.1,10312
